ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
35287;Alagoas;-35.7490;-9.7005;5530;5804;5954;6114;5472;4772;4505;4645;5276;5810;5888;6066;6058
35288;Alagoas;-35.6490;-9.7005;5668;5925;6059;6258;5592;4863;4613;4692;5410;6007;6103;6265;6232
35632;Alagoas;-37.8490;-9.6005;5514;5981;5993;6054;5573;4803;4388;4502;5094;5764;5844;6161;6006
35633;Alagoas;-37.7490;-9.6005;5470;5942;5859;5975;5534;4777;4405;4514;5080;5729;5812;6087;5926
35634;Alagoas;-37.6490;-9.6005;5437;5848;5831;5961;5443;4783;4439;4516;5052;5638;5727;6085;5926
35635;Alagoas;-37.5490;-9.6005;5447;5841;5852;6007;5484;4762;4440;4549;5065;5641;5730;6078;5922
35636;Alagoas;-37.4490;-9.6005;5411;5802;5781;5967;5459;4668;4396;4486;5017;5638;5746;6085;5888
35637;Alagoas;-37.3490;-9.6005;5404;5793;5775;5959;5483;4655;4347;4476;4974;5605;5771;6136;5869
35638;Alagoas;-37.2490;-9.6005;5358;5744;5689;5929;5430;4652;4309;4432;4911;5534;5705;6117;5842
35639;Alagoas;-37.1490;-9.6005;5314;5701;5640;5894;5328;4571;4298;4399;4879;5484;5668;6096;5807
35640;Alagoas;-37.0490;-9.6005;5315;5763;5620;5931;5354;4514;4260;4365;4856;5498;5679;6066;5870
35641;Alagoas;-36.9490;-9.6005;5298;5751;5599;5884;5365;4512;4262;4338;4831;5456;5653;6057;5871
35642;Alagoas;-36.8490;-9.6005;5327;5743;5613;5910;5387;4563;4254;4358;4886;5525;5697;6047;5944
35643;Alagoas;-36.7490;-9.6005;5385;5753;5652;5982;5444;4612;4313;4453;4965;5657;5762;6077;5952
35644;Alagoas;-36.6490;-9.6005;5337;5704;5626;5881;5391;4599;4303;4410;4901;5545;5679;6080;5920
35645;Alagoas;-36.5490;-9.6005;5333;5734;5709;5884;5332;4551;4232;4326;4879;5579;5714;6078;5982
35646;Alagoas;-36.4490;-9.6005;5241;5637;5643;5784;5317;4484;4146;4212;4772;5441;5579;5998;5886
35647;Alagoas;-36.3490;-9.6005;5228;5606;5608;5778;5283;4487;4145;4213;4753;5458;5588;5963;5857
35648;Alagoas;-36.2490;-9.6005;5143;5499;5512;5758;5177;4427;4080;4165;4644;5366;5470;5872;5743
35649;Alagoas;-36.1490;-9.6005;5161;5529;5563;5746;5200;4476;4162;4202;4691;5385;5437;5804;5731
35650;Alagoas;-36.0490;-9.6005;5290;5618;5739;5903;5340;4593;4268;4327;4837;5561;5610;5874;5812
35651;Alagoas;-35.9490;-9.6005;5308;5622;5716;5885;5302;4619;4322;4418;4943;5562;5617;5901;5794
35652;Alagoas;-35.8490;-9.6005;5360;5685;5812;5959;5291;4613;4350;4457;5002;5582;5729;5967;5876
35653;Alagoas;-35.7490;-9.6005;5353;5651;5806;5930;5243;4558;4359;4481;5023;5585;5748;5958;5893
35654;Alagoas;-35.6490;-9.6005;5538;5786;5978;6124;5438;4741;4522;4603;5286;5848;5968;6103;6052
36001;Alagoas;-38.0490;-9.5005;5535;5968;5996;6056;5579;4832;4397;4503;5106;5809;5942;6206;6024
36002;Alagoas;-37.9490;-9.5005;5547;6017;5997;6076;5595;4834;4437;4547;5133;5830;5916;6192;5989
36003;Alagoas;-37.8490;-9.5005;5482;5946;5884;5988;5536;4768;4411;4502;5085;5754;5814;6144;5956
36004;Alagoas;-37.7490;-9.5005;5427;5887;5759;5906;5488;4717;4396;4465;4988;5682;5764;6144;5926
36005;Alagoas;-37.6490;-9.5005;5443;5869;5838;5929;5499;4723;4400;4500;5013;5665;5789;6147;5943
36006;Alagoas;-37.5490;-9.5005;5444;5853;5858;5956;5493;4701;4387;4512;5023;5680;5797;6138;5934
36007;Alagoas;-37.4490;-9.5005;5420;5808;5806;5952;5459;4673;4341;4450;5011;5680;5807;6141;5914
36008;Alagoas;-37.3490;-9.5005;5431;5779;5769;5996;5512;4679;4341;4442;5018;5697;5831;6197;5911
36009;Alagoas;-37.2490;-9.5005;5410;5781;5744;6018;5477;4669;4318;4409;4959;5638;5805;6192;5916
36010;Alagoas;-37.1490;-9.5005;5378;5817;5728;5979;5400;4633;4286;4384;4887;5572;5787;6154;5907
36011;Alagoas;-37.0490;-9.5005;5376;5811;5681;5969;5446;4614;4263;4389;4916;5593;5771;6131;5925
36012;Alagoas;-36.9490;-9.5005;5356;5764;5637;5925;5395;4609;4279;4396;4896;5568;5746;6123;5935
36013;Alagoas;-36.8490;-9.5005;5349;5703;5646;5882;5394;4618;4272;4365;4908;5608;5733;6111;5945
36014;Alagoas;-36.7490;-9.5005;5397;5754;5680;5952;5427;4646;4286;4421;4978;5682;5794;6172;5974
36015;Alagoas;-36.6490;-9.5005;5359;5720;5669;5926;5398;4603;4272;4374;4934;5604;5735;6125;5949
36016;Alagoas;-36.5490;-9.5005;5318;5672;5675;5852;5357;4567;4212;4318;4882;5573;5686;6089;5924
36017;Alagoas;-36.4490;-9.5005;5279;5641;5650;5822;5308;4534;4149;4225;4813;5529;5683;6087;5902
36018;Alagoas;-36.3490;-9.5005;5213;5583;5598;5778;5238;4478;4085;4176;4761;5420;5599;6004;5837
36019;Alagoas;-36.2490;-9.5005;5140;5482;5548;5755;5207;4446;4049;4163;4640;5343;5490;5841;5713
36020;Alagoas;-36.1490;-9.5005;5152;5506;5545;5734;5259;4493;4157;4205;4688;5361;5421;5784;5672
36021;Alagoas;-36.0490;-9.5005;5212;5531;5601;5799;5300;4537;4243;4300;4802;5441;5476;5796;5723
36022;Alagoas;-35.9490;-9.5005;5230;5521;5630;5824;5241;4532;4250;4339;4859;5470;5538;5831;5728
36023;Alagoas;-35.8490;-9.5005;5242;5550;5673;5832;5224;4507;4282;4359;4867;5462;5553;5858;5735
36024;Alagoas;-35.7490;-9.5005;5275;5589;5749;5915;5230;4510;4273;4373;4885;5489;5618;5871;5800
36025;Alagoas;-35.6490;-9.5005;5365;5623;5816;5997;5310;4647;4348;4495;5051;5578;5717;5918;5877
36026;Alagoas;-35.5490;-9.5005;5552;5798;5945;6170;5463;4800;4524;4639;5264;5871;5947;6148;6051
36377;Alagoas;-38.2490;-9.4005;5537;5967;6038;6069;5602;4847;4392;4509;5074;5865;5946;6090;6040
36378;Alagoas;-38.1490;-9.4005;5555;5966;6006;6080;5638;4848;4431;4565;5160;5848;5946;6158;6015
36379;Alagoas;-38.0490;-9.4005;5540;5980;6000;6062;5629;4828;4413;4554;5146;5785;5896;6183;6005
36380;Alagoas;-37.9490;-9.4005;5461;5948;5868;5969;5479;4729;4341;4457;5012;5753;5849;6168;5964
36381;Alagoas;-37.8490;-9.4005;5442;5926;5789;5956;5475;4663;4358;4426;4982;5719;5837;6198;5973
36382;Alagoas;-37.7490;-9.4005;5481;5911;5802;5989;5558;4734;4418;4477;5024;5742;5864;6259;5997
36383;Alagoas;-37.6490;-9.4005;5466;5915;5860;5974;5563;4689;4383;4471;4983;5686;5822;6238;6003
36384;Alagoas;-37.5490;-9.4005;5473;5882;5881;5974;5540;4693;4364;4487;5029;5753;5893;6215;5961
36385;Alagoas;-37.4490;-9.4005;5428;5811;5838;5955;5446;4674;4311;4443;4997;5686;5866;6177;5926
36386;Alagoas;-37.3490;-9.4005;5459;5806;5781;6054;5546;4717;4326;4453;5023;5713;5880;6236;5976
36387;Alagoas;-37.2490;-9.4005;5456;5842;5800;6072;5510;4708;4333;4432;4991;5682;5901;6216;5985
36388;Alagoas;-37.1490;-9.4005;5409;5889;5752;6002;5433;4637;4266;4373;4899;5661;5852;6168;5972
36389;Alagoas;-37.0490;-9.4005;5409;5820;5730;5961;5439;4674;4282;4417;4974;5661;5830;6142;5976
36390;Alagoas;-36.9490;-9.4005;5376;5744;5689;5920;5381;4647;4268;4414;4935;5636;5782;6129;5965
36391;Alagoas;-36.8490;-9.4005;5344;5643;5657;5860;5373;4614;4223;4352;4873;5634;5789;6151;5953
36392;Alagoas;-36.7490;-9.4005;5443;5763;5753;5980;5465;4649;4293;4418;5045;5791;5890;6238;6024
36393;Alagoas;-36.6490;-9.4005;5378;5695;5685;5929;5418;4610;4243;4359;4975;5676;5812;6173;5963
36394;Alagoas;-36.5490;-9.4005;5242;5567;5577;5782;5304;4503;4104;4205;4766;5500;5643;6077;5882
36395;Alagoas;-36.4490;-9.4005;5241;5574;5616;5796;5266;4526;4089;4198;4738;5499;5627;6077;5884
36396;Alagoas;-36.3490;-9.4005;5227;5582;5652;5818;5269;4497;4065;4184;4729;5460;5599;6020;5852
36397;Alagoas;-36.2490;-9.4005;5188;5524;5631;5796;5287;4466;4066;4195;4689;5385;5534;5906;5778
36398;Alagoas;-36.1490;-9.4005;5107;5433;5489;5686;5262;4472;4084;4153;4620;5295;5369;5775;5645
36399;Alagoas;-36.0490;-9.4005;5151;5446;5487;5741;5243;4482;4143;4204;4711;5394;5448;5819;5691
36400;Alagoas;-35.9490;-9.4005;5190;5468;5580;5821;5239;4506;4182;4263;4811;5426;5497;5818;5664
36401;Alagoas;-35.8490;-9.4005;5217;5529;5641;5846;5252;4517;4210;4295;4792;5449;5533;5837;5699
36402;Alagoas;-35.7490;-9.4005;5235;5537;5667;5858;5228;4520;4237;4336;4847;5474;5563;5806;5743
36403;Alagoas;-35.6490;-9.4005;5252;5522;5692;5888;5234;4554;4214;4391;4854;5442;5564;5882;5781
36404;Alagoas;-35.5490;-9.4005;5436;5726;5834;6116;5383;4722;4422;4511;5099;5619;5780;6049;5973
36405;Alagoas;-35.4490;-9.4005;5603;5863;5983;6255;5510;4864;4582;4631;5328;5916;5990;6174;6146
36755;Alagoas;-38.2490;-9.3005;5597;5936;6105;6119;5690;4946;4486;4675;5231;5892;5910;6161;6015
36756;Alagoas;-38.1490;-9.3005;5526;5917;5939;5982;5582;4834;4385;4591;5119;5841;5919;6226;5975
36757;Alagoas;-38.0490;-9.3005;5520;5953;5919;5989;5566;4827;4340;4526;5083;5846;5941;6252;5994
36758;Alagoas;-37.9490;-9.3005;5465;5913;5864;6002;5492;4741;4291;4375;5033;5783;5885;6233;5969
36759;Alagoas;-37.8490;-9.3005;5421;5896;5824;5982;5487;4675;4219;4310;4927;5706;5835;6209;5982
